epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14273.2,2.04349,2.65398,3.03301,0.89441,0.80314,0.86669,0.67439,1.8043,1.41204,2.84338,0.00898525,0.00898525,0.00898525
43,14610.7,2.0197,2.65281,3.01279,0.85002,0.78767,0.83249,0.65192,1.79087,1.58041,2.87084,0.0089605,0.0089605,0.0089605
44,14948.1,2.03924,2.6871,3.04109,0.83987,0.77197,0.84669,0.68377,1.61328,1.57334,2.6371,0.00893575,0.00893575,0.00893575
45,15285.7,2.01806,2.659,3.01917,0.84336,0.79935,0.85045,0.66018,1.80593,1.67042,2.82883,0.008911,0.008911,0.008911
46,15623.1,2.02332,2.62894,3.01178,0.83959,0.84195,0.86112,0.67719,1.67958,1.55483,2.79233,0.00888625,0.00888625,0.00888625
47,15960.4,2.01632,2.56746,3.01935,0.88253,0.74623,0.86562,0.69416,1.69091,1.55128,2.77445,0.0088615,0.0088615,0.0088615
48,16298.4,2.00443,2.55863,3.00908,0.88464,0.77687,0.86546,0.70191,1.60263,1.36505,2.69398,0.00883675,0.00883675,0.00883675
49,16636.1,2.03155,2.64426,3.02713,0.82937,0.86423,0.87455,0.7097,1.52722,1.38826,2.59386,0.008812,0.008812,0.008812
50,16974,2.00864,2.61306,3.01791,0.86935,0.85191,0.8759,0.69413,1.59852,1.41042,2.68784,0.00878725,0.00878725,0.00878725
51,17311.5,2.00701,2.57398,3.0028,0.85645,0.8378,0.87683,0.71626,1.53194,1.39875,2.58866,0.0087625,0.0087625,0.0087625
52,17649.5,1.96766,2.52663,2.96086,0.86758,0.79066,0.88784,0.69373,1.71499,1.4615,2.8095,0.00873775,0.00873775,0.00873775
53,17995.9,1.97528,2.50086,2.97217,0.90795,0.81316,0.88074,0.71051,1.57918,1.41767,2.68134,0.008713,0.008713,0.008713
54,18339.7,1.9776,2.50406,2.9719,0.85735,0.76385,0.85367,0.69854,1.51017,1.51621,2.60059,0.00868825,0.00868825,0.00868825
55,18678.7,1.97193,2.48747,2.95903,0.86201,0.82608,0.87744,0.69719,1.64939,1.4238,2.73087,0.0086635,0.0086635,0.0086635
56,19017.7,1.96889,2.48837,2.97101,0.88741,0.78717,0.86815,0.70784,1.56423,1.31336,2.6763,0.00863875,0.00863875,0.00863875
57,19356.5,1.97153,2.48924,2.98457,0.90213,0.80651,0.89827,0.73453,1.3978,1.3198,2.43486,0.008614,0.008614,0.008614
58,19695.7,1.94242,2.40484,2.96085,0.8329,0.83045,0.88033,0.72471,1.49262,1.35787,2.58142,0.00858925,0.00858925,0.00858925
59,20035,1.92391,2.41091,2.93648,0.91722,0.80968,0.88568,0.70738,1.63985,1.26893,2.77596,0.0085645,0.0085645,0.0085645
60,20373.9,1.90948,2.3852,2.92795,0.89705,0.82143,0.88123,0.7125,1.56022,1.29224,2.68141,0.00853975,0.00853975,0.00853975
61,20716.2,1.91229,2.41023,2.93511,0.87164,0.79331,0.88016,0.71847,1.57485,1.30078,2.67709,0.008515,0.008515,0.008515
62,21055.1,1.88907,2.33247,2.91313,0.85485,0.85676,0.87981,0.71497,1.67213,1.33841,2.7612,0.00849025,0.00849025,0.00849025
63,21393,1.90175,2.42093,2.92978,0.85166,0.85232,0.89298,0.71547,1.55844,1.29627,2.64457,0.0084655,0.0084655,0.0084655
64,21730.9,1.8839,2.39298,2.90905,0.87386,0.83206,0.88983,0.71441,1.50081,1.35105,2.57795,0.00844075,0.00844075,0.00844075
65,22069,1.93612,2.41611,2.93844,0.90125,0.83663,0.89472,0.71157,1.64083,1.28124,2.71406,0.008416,0.008416,0.008416
