epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16122.5,2.12342,2.65921,3.16548,0.86373,0.81035,0.89205,0.68728,1.70531,1.35625,2.72998,0.008614,0.008614,0.008614
44,16496.2,2.09705,2.63012,3.1348,0.86922,0.81992,0.89931,0.67687,1.80818,1.31053,2.83572,0.008581,0.008581,0.008581
45,16856.5,2.10047,2.63074,3.14419,0.86493,0.77987,0.88356,0.672,1.76888,1.43947,2.76778,0.008548,0.008548,0.008548
46,17216.7,2.07828,2.55242,3.10165,0.8783,0.80599,0.89088,0.66817,1.77468,1.37532,2.75467,0.008515,0.008515,0.008515
47,17577,2.08331,2.58832,3.12102,0.87561,0.78639,0.87542,0.65947,1.8353,1.49141,2.82888,0.008482,0.008482,0.008482
48,17939.6,2.07107,2.61151,3.10075,0.85937,0.79745,0.88633,0.66758,1.84385,1.42447,2.79358,0.008449,0.008449,0.008449
49,18300.7,2.04467,2.57729,3.08044,0.84945,0.81456,0.90465,0.68666,1.72321,1.35281,2.73607,0.008416,0.008416,0.008416
50,18661.4,2.05653,2.51324,3.10239,0.83429,0.78364,0.86595,0.62667,2.01486,1.60059,3.0611,0.008383,0.008383,0.008383
51,19022.3,2.07275,2.53544,3.10239,0.88078,0.81925,0.89377,0.69059,1.69941,1.32271,2.68791,0.00835,0.00835,0.00835
52,19383.6,2.0495,2.53136,3.07894,0.85923,0.82225,0.89812,0.68283,1.79964,1.31288,2.7444,0.008317,0.008317,0.008317
53,19744.3,2.04101,2.52513,3.09886,0.88989,0.82288,0.89966,0.6734,1.80637,1.35076,2.79205,0.008284,0.008284,0.008284
54,20105.1,2.03639,2.4568,3.08061,0.89866,0.84928,0.92211,0.69063,1.81893,1.17142,2.79408,0.008251,0.008251,0.008251
55,20466,2.02975,2.4439,3.08172,0.87239,0.83675,0.91042,0.68528,1.83386,1.29125,2.82583,0.008218,0.008218,0.008218
56,20826.9,2.01294,2.4203,3.05928,0.86179,0.87049,0.91344,0.69092,1.76105,1.19763,2.74964,0.008185,0.008185,0.008185
57,21187.3,1.99014,2.41425,3.04404,0.85474,0.81525,0.89405,0.69195,1.67779,1.35924,2.63825,0.008152,0.008152,0.008152
58,21549.1,2.00602,2.45547,3.05946,0.88579,0.84106,0.91463,0.71355,1.61955,1.20672,2.62195,0.008119,0.008119,0.008119
59,21910.5,2.00995,2.47315,3.05695,0.89087,0.86897,0.92999,0.71555,1.65806,1.13403,2.65389,0.008086,0.008086,0.008086
60,22281.6,2.02349,2.40943,3.05598,0.87852,0.82335,0.89886,0.69235,1.66315,1.36736,2.6527,0.008053,0.008053,0.008053
61,22648.9,1.986,2.36453,3.02848,0.88264,0.8355,0.90554,0.69801,1.69824,1.22051,2.64229,0.00802,0.00802,0.00802
62,23016.6,1.97493,2.35511,3.03261,0.89473,0.86292,0.9231,0.71761,1.65942,1.17164,2.62535,0.007987,0.007987,0.007987
63,23384.7,1.9817,2.31286,3.02725,0.87566,0.85283,0.91387,0.71155,1.66931,1.19408,2.63824,0.007954,0.007954,0.007954
64,23752.2,1.96065,2.38489,3.01066,0.89709,0.85763,0.92691,0.731,1.562,1.08798,2.56512,0.007921,0.007921,0.007921
65,24119.6,1.97757,2.34513,3.01571,0.89269,0.85346,0.91846,0.71633,1.66157,1.16419,2.63869,0.007888,0.007888,0.007888
66,24487.5,1.96945,2.36011,3.03007,0.89317,0.87364,0.92517,0.71912,1.64946,1.15819,2.62594,0.007855,0.007855,0.007855
67,24855.5,1.98173,2.35318,3.03254,0.89135,0.84897,0.92544,0.71813,1.64177,1.15231,2.61438,0.007822,0.007822,0.007822
68,25222.3,1.93421,2.31556,2.99976,0.91339,0.86275,0.92913,0.71672,1.72314,1.1425,2.65382,0.007789,0.007789,0.007789
69,25589.7,1.94262,2.29907,2.99439,0.93162,0.83512,0.92786,0.7325,1.5834,1.12626,2.56626,0.007756,0.007756,0.007756
70,25957.7,1.95704,2.32009,2.99617,0.91731,0.83977,0.92101,0.71329,1.68031,1.15132,2.64644,0.007723,0.007723,0.007723
71,26325.4,1.93584,2.2851,2.99263,0.90369,0.84798,0.92522,0.73484,1.54995,1.19639,2.54101,0.00769,0.00769,0.00769
72,26693.7,1.91658,2.25529,2.97278,0.86423,0.84703,0.90767,0.69942,1.72234,1.26167,2.69207,0.007657,0.007657,0.007657
73,27062.5,1.93579,2.31516,2.99297,0.90697,0.8594,0.92624,0.72902,1.60562,1.20202,2.58235,0.007624,0.007624,0.007624
74,27431.3,1.9168,2.25237,2.98587,0.92886,0.8248,0.91821,0.72847,1.58546,1.17449,2.57444,0.007591,0.007591,0.007591
75,27801.5,1.93136,2.28491,2.99603,0.91008,0.83709,0.91703,0.73003,1.55709,1.17692,2.56729,0.007558,0.007558,0.007558
76,28172.6,1.89973,2.25508,2.95987,0.8998,0.86336,0.92538,0.72897,1.64896,1.19275,2.65424,0.007525,0.007525,0.007525
77,28541,1.92441,2.2772,2.99606,0.89025,0.86495,0.92283,0.73315,1.57321,1.1676,2.60049,0.007492,0.007492,0.007492
78,28909.5,1.89907,2.21223,2.9644,0.89173,0.87794,0.93101,0.73923,1.51819,1.06852,2.52953,0.007459,0.007459,0.007459
79,29278.8,1.91026,2.20108,2.96932,0.87839,0.86226,0.92037,0.73233,1.58311,1.17282,2.59,0.007426,0.007426,0.007426
80,29646.6,1.89864,2.20507,2.97051,0.90032,0.8506,0.92218,0.72307,1.61978,1.19927,2.63118,0.007393,0.007393,0.007393
81,30015.3,1.90484,2.22661,2.9593,0.91626,0.85483,0.93504,0.73577,1.66581,1.14122,2.67963,0.00736,0.00736,0.00736
82,30383.6,1.87814,2.17391,2.9506,0.91026,0.90241,0.94309,0.74505,1.59363,0.98739,2.58857,0.007327,0.007327,0.007327
83,30752.8,1.90754,2.248,2.96727,0.91658,0.87754,0.93657,0.74928,1.5808,1.07693,2.60998,0.007294,0.007294,0.007294
84,31121.8,1.86531,2.1393,2.92185,0.91235,0.87868,0.93848,0.75604,1.52243,1.04665,2.51508,0.007261,0.007261,0.007261
85,31491.3,1.866,2.12569,2.94433,0.92065,0.89434,0.94758,0.73421,1.6555,0.99306,2.59907,0.007228,0.007228,0.007228
86,31865.5,1.85789,2.11813,2.92568,0.91262,0.86829,0.93639,0.73666,1.58662,1.13061,2.56585,0.007195,0.007195,0.007195
87,32226.7,1.86736,2.16645,2.94666,0.91089,0.87141,0.93971,0.75957,1.49479,1.04304,2.49986,0.007162,0.007162,0.007162
88,32589.4,1.86732,2.19238,2.94739,0.90582,0.89813,0.94464,0.74321,1.64049,0.98161,2.6255,0.007129,0.007129,0.007129
89,32951.1,1.85964,2.16585,2.93453,0.91041,0.89251,0.94416,0.75676,1.51905,0.98514,2.48422,0.007096,0.007096,0.007096
90,33312.1,1.83083,2.09378,2.90473,0.90955,0.8624,0.93486,0.75385,1.50101,1.09232,2.46541,0.007063,0.007063,0.007063
91,33675.6,1.84412,2.08113,2.89707,0.881,0.84338,0.91817,0.73414,1.54191,1.2256,2.5228,0.00703,0.00703,0.00703
92,34038.7,1.83098,2.06905,2.8962,0.91296,0.85811,0.93515,0.74994,1.55939,1.08028,2.51313,0.006997,0.006997,0.006997
93,34404.1,1.84749,2.10042,2.91056,0.9087,0.88394,0.9374,0.7602,1.51909,1.06415,2.50145,0.006964,0.006964,0.006964
94,34767.6,1.86341,2.13502,2.93421,0.89999,0.87749,0.93567,0.75232,1.54332,1.04636,2.52849,0.006931,0.006931,0.006931
95,35132,1.8345,2.07482,2.90615,0.91155,0.88748,0.94083,0.74435,1.60394,1.00629,2.56533,0.006898,0.006898,0.006898
96,35494.6,1.84128,2.0741,2.9183,0.88807,0.84942,0.92531,0.74704,1.50704,1.20514,2.50385,0.006865,0.006865,0.006865
97,35857.7,1.79551,2.02922,2.8856,0.90706,0.86206,0.93366,0.7454,1.56347,1.10962,2.52792,0.006832,0.006832,0.006832
98,36221.2,1.81202,2.02941,2.89135,0.90862,0.89263,0.94438,0.75565,1.55811,0.9907,2.52137,0.006799,0.006799,0.006799
99,36582.9,1.84169,2.05159,2.91073,0.9346,0.89022,0.95088,0.76939,1.49551,0.99299,2.49718,0.006766,0.006766,0.006766
100,36947,1.79126,2.02333,2.87276,0.92018,0.89296,0.94935,0.7551,1.61713,1.01932,2.58414,0.006733,0.006733,0.006733
101,37316.3,1.80185,2.05002,2.88974,0.90793,0.89389,0.94666,0.76319,1.5239,0.97127,2.48537,0.0067,0.0067,0.0067
102,37686.9,1.80377,2.0443,2.87979,0.93157,0.87381,0.94374,0.76052,1.50102,0.97619,2.46854,0.006667,0.006667,0.006667
103,38097.7,1.82369,2.04109,2.90198,0.92331,0.88521,0.94197,0.76645,1.46369,0.99618,2.4487,0.006634,0.006634,0.006634
104,38540.3,1.79305,1.9942,2.8568,0.93588,0.88438,0.94461,0.74735,1.63337,0.98345,2.57757,0.006601,0.006601,0.006601
105,38976.8,1.77767,1.96995,2.85028,0.91822,0.88425,0.94168,0.74916,1.62489,0.97844,2.58105,0.006568,0.006568,0.006568
106,39409.1,1.76996,2.02925,2.87645,0.91939,0.87361,0.937,0.75558,1.52493,1.03291,2.48129,0.006535,0.006535,0.006535
107,39780.8,1.75017,1.92901,2.84312,0.94645,0.8647,0.9424,0.75706,1.56369,0.99073,2.51652,0.006502,0.006502,0.006502
108,40152.3,1.76986,1.97582,2.84189,0.92453,0.873,0.94175,0.76505,1.47026,1.01561,2.47194,0.006469,0.006469,0.006469
109,40522.5,1.77079,1.99552,2.85553,0.91882,0.89283,0.94821,0.77625,1.4187,0.97132,2.41278,0.006436,0.006436,0.006436
110,40895.5,1.78892,2.01623,2.87046,0.92371,0.86065,0.93877,0.7564,1.50165,1.03851,2.47941,0.006403,0.006403,0.006403
111,41269.5,1.76117,1.9129,2.84325,0.91437,0.90443,0.94668,0.75998,1.54366,0.94542,2.49941,0.00637,0.00637,0.00637
112,41710.7,1.75946,1.95519,2.85108,0.92527,0.89334,0.9488,0.75868,1.57172,0.96845,2.51709,0.006337,0.006337,0.006337
113,42144,1.77248,1.99067,2.85733,0.94345,0.8716,0.9441,0.74709,1.62563,0.96804,2.55373,0.006304,0.006304,0.006304
114,42527.2,1.75499,1.96906,2.83753,0.93424,0.89605,0.9449,0.75045,1.64317,0.95894,2.56554,0.006271,0.006271,0.006271
115,42896.1,1.73884,1.95608,2.83443,0.94858,0.89543,0.95019,0.77377,1.53285,0.9186,2.50303,0.006238,0.006238,0.006238
116,43267.3,1.73397,1.92785,2.82094,0.9261,0.90086,0.94539,0.77074,1.50612,0.93012,2.47075,0.006205,0.006205,0.006205
117,43638.3,1.74469,1.92904,2.83965,0.92232,0.90222,0.94747,0.77327,1.49618,0.92175,2.4433,0.006172,0.006172,0.006172
118,44041.2,1.77215,1.96666,2.85113,0.93277,0.88954,0.94502,0.76645,1.51235,0.92628,2.47154,0.006139,0.006139,0.006139
119,44411.8,1.71998,1.90176,2.80603,0.9461,0.88218,0.94716,0.76965,1.52017,0.94832,2.4643,0.006106,0.006106,0.006106
120,44783.8,1.7356,1.91338,2.83197,0.91472,0.91013,0.95205,0.76257,1.58896,0.92132,2.53218,0.006073,0.006073,0.006073
121,45157.1,1.73691,1.90194,2.82088,0.93928,0.88349,0.95304,0.7729,1.52571,0.90017,2.47851,0.00604,0.00604,0.00604
122,45528.2,1.7397,1.88158,2.82179,0.92888,0.89238,0.95309,0.76865,1.53916,0.90205,2.48817,0.006007,0.006007,0.006007
123,45898.3,1.73283,1.86863,2.81126,0.92319,0.89787,0.94875,0.77622,1.46531,0.95744,2.43615,0.005974,0.005974,0.005974
124,46268.9,1.70761,1.91719,2.80319,0.9296,0.89323,0.95062,0.78664,1.39098,0.91355,2.3897,0.005941,0.005941,0.005941
125,46641.9,1.73123,1.91917,2.80333,0.94269,0.90517,0.95285,0.79129,1.36266,0.87798,2.36092,0.005908,0.005908,0.005908
126,47014.1,1.70512,1.89433,2.80299,0.95621,0.89476,0.95643,0.7758,1.49533,0.89103,2.43532,0.005875,0.005875,0.005875
127,47384,1.71588,1.90267,2.80061,0.9353,0.90486,0.95197,0.77656,1.47245,0.90189,2.41752,0.005842,0.005842,0.005842
128,47761.3,1.73601,1.90355,2.8159,0.94538,0.90877,0.95188,0.77055,1.51843,0.90861,2.47993,0.005809,0.005809,0.005809
129,48124.2,1.70574,1.84427,2.79551,0.92767,0.90509,0.94765,0.74972,1.61938,0.91349,2.56759,0.005776,0.005776,0.005776
130,48487.3,1.71539,1.88427,2.80212,0.93243,0.90008,0.95048,0.76063,1.56163,0.90832,2.48701,0.005743,0.005743,0.005743
131,48850.2,1.73233,1.92148,2.8297,0.94578,0.89891,0.95151,0.76412,1.55193,0.89117,2.47318,0.00571,0.00571,0.00571
132,49212.2,1.6951,1.86179,2.78809,0.94258,0.89608,0.95085,0.76783,1.52614,0.89028,2.44863,0.005677,0.005677,0.005677
133,49574.2,1.67377,1.78589,2.76481,0.94185,0.88297,0.94851,0.77066,1.46614,0.9369,2.43043,0.005644,0.005644,0.005644
134,49934.9,1.6628,1.76654,2.77355,0.91949,0.89903,0.94908,0.77023,1.47712,0.95143,2.42667,0.005611,0.005611,0.005611
135,50297.2,1.66227,1.80074,2.76273,0.93057,0.9108,0.95083,0.76082,1.57714,0.93607,2.51894,0.005578,0.005578,0.005578
136,50660.9,1.69604,1.83612,2.78517,0.94675,0.87839,0.94813,0.76595,1.56414,0.97288,2.53054,0.005545,0.005545,0.005545
137,51022.8,1.6921,1.84281,2.78072,0.92893,0.8955,0.9489,0.75101,1.65213,0.94036,2.56551,0.005512,0.005512,0.005512
138,51385.4,1.70178,1.82736,2.78063,0.91583,0.90684,0.95166,0.74933,1.652,0.92876,2.56252,0.005479,0.005479,0.005479
139,51748.3,1.66139,1.78885,2.75919,0.93629,0.90113,0.95334,0.75843,1.61423,0.90898,2.53872,0.005446,0.005446,0.005446
140,52111.2,1.68562,1.82652,2.78415,0.94438,0.8691,0.94957,0.76656,1.54604,0.9501,2.48449,0.005413,0.005413,0.005413
141,52474.8,1.69177,1.81007,2.7903,0.94145,0.8673,0.94844,0.75253,1.59599,0.98925,2.53723,0.00538,0.00538,0.00538
142,52838,1.68089,1.83278,2.79074,0.93258,0.88855,0.94903,0.7551,1.56771,0.94892,2.514,0.005347,0.005347,0.005347
143,53207.4,1.69517,1.82253,2.78476,0.92324,0.90531,0.94956,0.76673,1.5117,0.9146,2.48186,0.005314,0.005314,0.005314
144,53577.3,1.65686,1.761,2.75652,0.94022,0.88804,0.95085,0.75937,1.57465,0.90975,2.52489,0.005281,0.005281,0.005281
145,53948.3,1.66175,1.7805,2.7667,0.9421,0.8946,0.95274,0.75933,1.59504,0.91181,2.52263,0.005248,0.005248,0.005248
146,54320.7,1.67329,1.82492,2.78143,0.94583,0.90131,0.95531,0.75477,1.65336,0.92049,2.57452,0.005215,0.005215,0.005215
147,54691.4,1.64894,1.76928,2.75675,0.93207,0.91081,0.95201,0.75536,1.65594,0.91079,2.57481,0.005182,0.005182,0.005182
148,55059.4,1.66775,1.81792,2.77291,0.946,0.88923,0.95425,0.76153,1.59713,0.92761,2.51249,0.005149,0.005149,0.005149
149,55452.1,1.64707,1.75148,2.75275,0.95251,0.89866,0.95298,0.76761,1.52017,0.91245,2.44768,0.005116,0.005116,0.005116
150,55892.6,1.62219,1.72742,2.73462,0.93617,0.91398,0.9538,0.76831,1.54205,0.90002,2.46376,0.005083,0.005083,0.005083
