epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13708,2.0718,2.53528,3.07467,0.85079,0.77429,0.85122,0.63748,1.7817,1.50355,2.81362,0.008614,0.008614,0.008614
44,14023.1,2.03656,2.5183,3.03916,0.85725,0.7776,0.86598,0.65564,1.78568,1.42864,2.78957,0.008581,0.008581,0.008581
45,14337.1,2.03408,2.47193,3.04969,0.83507,0.7891,0.87052,0.64589,1.89277,1.38644,2.8505,0.008548,0.008548,0.008548
46,14651.3,2.05507,2.47454,3.0501,0.81582,0.78731,0.85092,0.63579,1.90608,1.47691,2.91445,0.008515,0.008515,0.008515
47,14966.3,2.02882,2.37634,3.01442,0.84512,0.77933,0.8643,0.66044,1.7537,1.43417,2.77374,0.008482,0.008482,0.008482
48,15283.2,2.03766,2.36644,3.01751,0.85478,0.77332,0.86676,0.6357,1.94339,1.43682,2.94619,0.008449,0.008449,0.008449
49,15598.1,1.99729,2.37885,3.00555,0.84685,0.75916,0.85578,0.64856,1.79728,1.53208,2.82496,0.008416,0.008416,0.008416
50,15914.3,2.00946,2.36859,2.98619,0.87449,0.81638,0.87999,0.67366,1.73833,1.36458,2.7547,0.008383,0.008383,0.008383
51,16231.8,1.98606,2.32561,3.01604,0.86195,0.78559,0.86966,0.65906,1.82341,1.39588,2.83008,0.00835,0.00835,0.00835
52,16549.1,1.97755,2.26433,2.98867,0.83634,0.73599,0.83162,0.61858,1.90103,1.65362,2.97409,0.008317,0.008317,0.008317
53,16865.8,1.97536,2.30102,2.95956,0.85274,0.80476,0.87559,0.64619,1.92622,1.39578,2.93502,0.008284,0.008284,0.008284
54,17181.7,1.9528,2.26302,2.96319,0.87699,0.7625,0.86051,0.64754,1.7991,1.45271,2.83777,0.008251,0.008251,0.008251
55,17497.6,1.98421,2.29891,2.9994,0.87152,0.76258,0.85973,0.65218,1.79293,1.49033,2.82801,0.008218,0.008218,0.008218
56,17814.5,1.95037,2.24596,2.96306,0.86819,0.77054,0.87373,0.67175,1.71343,1.47829,2.78622,0.008185,0.008185,0.008185
57,18132.3,1.96337,2.22956,2.97483,0.86467,0.79483,0.86444,0.66267,1.75278,1.40315,2.73796,0.008152,0.008152,0.008152
58,18453.6,1.95832,2.25645,2.97891,0.87376,0.82599,0.88824,0.68114,1.78648,1.2703,2.75966,0.008119,0.008119,0.008119
59,18771.9,1.93876,2.17894,2.95237,0.87029,0.80531,0.88283,0.68718,1.69721,1.3188,2.70462,0.008086,0.008086,0.008086
60,19089.8,1.91764,2.21317,2.93632,0.84739,0.79829,0.8678,0.67219,1.71716,1.37957,2.73961,0.008053,0.008053,0.008053
61,19407.6,1.91767,2.17137,2.94816,0.87282,0.78897,0.86947,0.66674,1.71889,1.39815,2.72038,0.00802,0.00802,0.00802
62,19727,1.93073,2.27249,2.95855,0.90049,0.78215,0.89053,0.70312,1.67147,1.24835,2.65927,0.007987,0.007987,0.007987
63,20044.8,1.91323,2.17909,2.95061,0.89635,0.80715,0.90055,0.67097,1.84342,1.24981,2.8089,0.007954,0.007954,0.007954
64,20361.8,1.90016,2.16917,2.92873,0.89387,0.81044,0.90281,0.70396,1.66583,1.20463,2.67106,0.007921,0.007921,0.007921
65,20684.7,1.92164,2.15208,2.95567,0.91293,0.83546,0.90647,0.6972,1.73604,1.21903,2.71071,0.007888,0.007888,0.007888
66,21005.5,1.93305,2.16508,2.96565,0.86165,0.82313,0.88978,0.68566,1.72227,1.28852,2.72105,0.007855,0.007855,0.007855
67,21323.8,1.88671,2.15034,2.90526,0.88648,0.81053,0.89128,0.69053,1.65526,1.25322,2.66209,0.007822,0.007822,0.007822
68,21642.7,1.87788,2.10875,2.8953,0.86953,0.80696,0.88026,0.66621,1.75573,1.32272,2.76422,0.007789,0.007789,0.007789
69,22011.6,1.86978,2.11892,2.90697,0.89084,0.84254,0.90953,0.68576,1.85603,1.1925,2.82686,0.007756,0.007756,0.007756
70,22340.2,1.86906,2.11249,2.91499,0.87677,0.83099,0.90254,0.67206,1.89652,1.18378,2.83584,0.007723,0.007723,0.007723
71,22661.2,1.87853,2.04498,2.90475,0.91482,0.8281,0.9042,0.68817,1.83846,1.20948,2.81765,0.00769,0.00769,0.00769
72,22982.2,1.84407,2.085,2.8743,0.88722,0.80043,0.88163,0.67038,1.89014,1.28105,2.88157,0.007657,0.007657,0.007657
